case_number,project_id,address,in_main_500ft_sample,current_units,current_land_sqft,recommended_units,recommended_land_sqft,recommendation,evidence,permit_numbers,source_urls,remaining_issue,assessor_row_ids,assessor_history,review_date,adopted,permit_evidence,current_construction_year,current_building_sqft,other_measurement_concern,followup_reviewed,recommended_construction_year,recommended_building_sqft,followup_evidence,proposed_sample_action
24,commercial_17084400130000,922 W WASHINGTON CHICAGO,FALSE,149,29519,104,,Hold land,"Original permit and developer distinguish 104 newly built apartments from 45 existing converted lofts. The selected 149 includes both. The reported three-parcel lot covers the combined site, so 104 cannot automatically be paired with the whole lot.",100509838;100558049;100101888,https://workwithfocus.com/portfolio/circa-922/,Recommend withholding density because no source-reported new-building lot was found. No land allocation or map calculation is proposed.,60945;83208,"17084400130000 cardNA classNA built2014: 149 homes / 157250 floor / 29519 land, assessment 2024; 17084400130000 cardNA classNA built2017: 104 homes / 157250 floor / 29519 land, assessment 2021",2026-09-15,TRUE,"100509838 | COMPLETE | 2013-09-20T00:00:00.000 | 922 W WASHINGTON BLVD | NEW CONSTRUCTION OF AN 11 STORY STORY ADDITION WITH 104 DU'S RESIDENTIAL APARTMENT WITH PARKING LEVELS (1-3) TO AN EXISTING 7-STORY 45 DU BLDG FOR A TOTAL OF 149 DWELLING UNITS WITH 130 PARKING SPACES ON SITE AND ASSOCIATED SITEWORK.LEED CERTIFIED - 922 WEST WASHINGTON STREET. CERTIFIED CORRECTIONS - CONDITIONAL APPROVAL. SUBJECT TO FIELD INSPECTION.
100558049 | COMPLETE | 2014-08-29T00:00:00.000 | 922 W WASHINGTON BLVD | REVISION TO PERMIT# 100509838 TO ENCLOSE THE PARKING GARAGE, EXTERIOR FACADE CHANGES, MINOR LANDSCAPING MODIFICATION AS WELL AS FLOOR PLAN CHANGE ON THE 11TH FLOOR (NO CHANGE TO TOTAL NUMBER OF DWELLING UNITS) AS PER PLANS.
100101888 | COMPLETE | 2006-03-15T00:00:00.000 | 123 N SANGAMON ST | 7-STORY EXISTING CONCRETE OFFICE BUILDING FOR INTERIOR/EXTERIOR RENOVATION, 45 CONDOMINIUM UNITS AND PARKING -- CONDITIONAL PERMIT",2014,157250,Construction year,TRUE,2015,157250,The developer identifies 104 new apartments and 45 existing lofts and dates completion to 2015. Earlier marketing anticipated or began leasing in 2014; use the developer completion year for the proposed new-building record. The reported lot still covers both old and new buildings. A completed-building date does not solve that denominator.,Withhold density
25,commercial_17084440270000,1100 W MADISON CHICAGO,TRUE,81,4599,9,4599,Correct count and year,"Building-specific reporting supports nine apartments at 1100 W Madison, matching the earlier assessment. The later 81 is the community total. Keep the individual building's recorded two-parcel 4599-square-foot lot.",,https://yochicago.com/madison-aberdeen-place-apartments-3-n-aberdeen-west-loop/;https://www.taylorjohnson.com/tj-news/waterton-acquires-81-unit-apartment-community-in-chicagos-west-loop/,Retain 16094 square feet of building and the individual 4599-square-foot lot. The count 81 describes all four community buildings.,60951;83214,"17084440270000 cardNA classNA built2012: 81 homes / 16094 floor / 4599 land, assessment 2024; 17084440270000 cardNA classNA built2014: 9 homes / 16094 floor / 4599 land, assessment 2021",2026-09-15,TRUE,,2012,16094,Construction year,TRUE,2013,16094,The December 2013 building account identifies the nine-apartment building at 4 N Aberdeen and the eighteen-apartment building at 3 N Aberdeen as completed in 2013. Exact-parcel permits link 4 N Aberdeen to 1100 W Madison. Electrical/masonry/elevator work continued into 2013 after the 2012 building permit. Recommend nine apartments and year 2013.,Keep
26,commercial_17084450160000,1048 W MADISON CHICAGO,TRUE,81,10000,18,10000,Correct count and year,"Building-specific reporting supports eighteen apartments at 1048 W Madison. Both Assessor counts, twenty-four and eighty-one, are inconsistent with this building. Retain its reported individual 10000-square-foot lot.",,https://yochicago.com/madison-aberdeen-place-apartments-3-n-aberdeen-west-loop/;https://www.taylorjohnson.com/tj-news/waterton-acquires-81-unit-apartment-community-in-chicagos-west-loop/,Retain 35051 square feet of building and the individual 10000-square-foot lot.,60952;83215,"17084450160000 cardNA classNA built2012: 81 homes / 35051 floor / 10000 land, assessment 2024; 17084450160000 cardNA classNA built2014: 24 homes / 35051 floor / 10000 land, assessment 2021",2026-09-15,TRUE,,2012,35051,Construction year,TRUE,2013,35051,"The December 2013 account explicitly assigns eighteen apartments to 3 N Aberdeen, the corner building identified by exact-parcel permits as 1048 W Madison, and dates completion to 2013. Its elevator, masonry and electrical permits continued into 2013. Recommend eighteen and 2013; neither 24 nor the later community-wide 81 is the supported building count.",Keep
27,commercial_17091230110000,452 W ERIE CHICAGO,FALSE,221,30422,221,30422,Retain,"Original new-building permit explicitly specifies 221 dwellings at 469 W Huron, supporting the newer Assessor count and reported site.",100272755,,Other permits linked by nearby addresses are not evidence about this building.,43205;68862,"17091230110000 cardNA classNA built2009: 221 homes / 348949 floor / 30422 land, assessment 2024; 17091230110000 cardNA classNA built2011: 207 homes / 348949 floor / 30422 land, assessment 2021",2026-09-15,TRUE,"100272755 | COMPLETE | 2008-12-31T00:00:00.000 | 469 W HURON ST | ERECT 21 STORY, 221 DWELLING UNIT RESIDENTIAL TOWER WITH 4 FLOORS OF ENCLOSED PARKING GARAGE AND BASEMENT AS PER PLANS (CERTIFICATE OF OCCUPANCY REQUIRED)",2009,348949,,FALSE,,,,Keep
28,commercial_17094000350000,341 W KINZIE CHICAGO,FALSE,698,178133,698,,Hold land,"Original full-building permit and architect support 698 apartments. The Assessor's 178133-square-foot land total repeats on Wolf Point West and includes the larger development. The developer describes a shared four-acre setting, not a separate East lot.",100697993;100732257,https://rlepartners.com/projects/wolf-point-east/;https://www.pappageorgehaymes.com/projects/wolf-point-east/;https://www.hines.com/properties/wolf-point-east-chicago,"Recommend withholding density. Record 698 and the 2020 completion evidence, but do not subtract West or allocate the shared site.",43242;68948,"17094000350000 cardNA classNA built2019: 698 homes / 781284 floor / 178133 land, assessment 2024; 17094000350000 cardNA classNA built2020: 686 homes / 781284 floor / 178133 land, assessment 2021",2026-09-15,TRUE,"100697993 | COMPLETE | 2017-06-21T00:00:00.000 | 313 W WOLF POINT PLZ | DIRECT DEVELOPER SERVICES: FOUNDATION AND STRUCTURE UP TO GRADE FOR PROPOSED 60-STORY RESIDENTIAL BUILDING WITH 6 BASEMENT PAKING LEVELS AND 698 DWELLING UNITS.
100732257 | COMPLETE | 2018-02-20T00:00:00.000 | 313 W WOLF POINT PLZ | DIRECT DEVELOPER SERVICES: NEW CONSTRUCTION OF 60-STORY RESIDENTIAL BUILDING WITH 698 UNITS. TO INCLUDE 6 LEVELS OF BELOW GRADE PARKING AND AMENITIES ON FLOORS 2,3, & 40. FOUNDATION AND SUPERSTRUCTURE LL6 UP TO 1ST FLOOR PERMITTED UNDER 100697993",2019,781284,,TRUE,2020,781284,"The construction project manager reports completion in 2020 and 698 apartments. Its land description is the entire 3.85-acre Wolf Point development, not the East tower lot; the architect and owner likewise describe the larger site. These additional sources do not supply the missing denominator.",Withhold density
29,commercial_17094000370000,343 W WOLF POINT  PLAZA CHICAGO,FALSE,504,178133,509,40653,"Correct count, land and year",Developer reports 509 apartments and a 40653-square-foot site for Wolf Point West. This supports the older count and replaces the repeated 178133-square-foot development total with a reported building-specific denominator.,,https://www.magellandevelopment.com/projects/wolf-point-west/,"Recommend 509 apartments, 40653 square feet of reported land and 2016; retain 571560 square feet of Assessor building area.",43243;68873,"17094000370000 cardNA classNA built2014: 504 homes / 571560 floor / 178133 land, assessment 2024; 17094000370000 cardNA classNA built2017: 509 homes / 571560 floor / 178133 land, assessment 2021",2026-09-15,TRUE,,2014,571560,Construction year,TRUE,2016,571560,"The developer directly reports initial occupancy in 2016, 509 rental homes and a 40653-square-foot site. Construction began in 2014, explaining why that year cannot represent occupancy. These building-specific figures support the proposed correction. Keep the Assessor gross floor measure: the developer building total uses an unspecified coverage definition and differs by about 3 percent. Adoption location check: Use the preserved 2025 exact-PIN parcel point for 17094000370000, whose County address is 343 W Wolf Point Plaza and whose recorded owner is BIT WOLF POINT WEST. This is the recorded parcel-location proxy for the independently identified West building, not a measured building footprint. The 2014 construction-permit point lies farther east on the shared development and is not used. The reported 40653-square-foot developer lot remains the density denominator.",Keep
30,commercial_17102100210000,345 E OHIO CHICAGO,FALSE,481,47588,481,47588,Retain,"The 2013 building account and current broker description both report 481 apartments, supporting the newer count. Retain its individual Assessor parcel and 47588-square-foot lot.",,https://yochicago.com/the-streeter-apartments-345-e-ohio-st-streeterville/;https://www.luxurychicagoapartments.com/properties/345-e-ohio-st/,The neighboring 355 E Ohio tower is separate despite linked permit addresses.,43254;68880,"17102100210000 cardNA classNA built2007: 481 homes / 695703 floor / 47588 land, assessment 2024; 17102100210000 cardNA classNA built2009: 467 homes / 695703 floor / 47588 land, assessment 2021",2026-09-15,TRUE,,2007,695703,,FALSE,,,,Keep
31,commercial_17102100220000,355 E ERIE CHICAGO,FALSE,484,38860,480,38860,Correct count,"Original permit for 355 E Ohio specifies 480 apartments, agreeing with the earlier assessment. A 2017 permit adds three apartments on the 54th floor. Use the original 480, not later 484, with its recorded individual lot.",100219337;100674643,,"Assessor street label says 355 E Erie, while the residential construction permit is 355 E Ohio. Preserve the exact parcel evidence and document the address discrepancy.",43255;68881,"17102100220000 cardNA classNA built2009: 484 homes / 765599 floor / 38860 land, assessment 2024; 17102100220000 cardNA classNA built2011: 480 homes / 765599 floor / 38860 land, assessment 2021",2026-09-15,TRUE,"100219337 | COMPLETE | 2008-01-11T00:00:00.000 | 355 E OHIO ST | CONSTRUCT A NEW 54 STORY RESIDENTIAL BUILDING- 480 UNITS WITH 11 STORY PARKING GARAGE AND 12TH LEVEL AMENITY FLOOR.
100674643 | COMPLETE | 2017-01-30T00:00:00.000 | 355 E OHIO ST | CONVERTING THE EXISTING 54TH FLOOR TO THREE NEW DWELLING UNITS AS PER PLANS **CERTIFIED PLANS CORRECTIONS: CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS **",2009,765599,,FALSE,,,,Keep
32,commercial_17161000490000,1 S HALSTED CHICAGO,TRUE,492,42324,492,42324,Retain,Original new-building permit supports 492 apartments. Reuse the current documented correction from 488 and the reported lot for 727 W Madison.,100685260,,Existing correction already applied.,60972;83232,"17161000490000 cardNA classNA built2020: 492 homes / 679914 floor / 42324 land, assessment 2024; 17161000490000 cardNA classNA built2020: 488 homes / 679914 floor / 42324 land, assessment 2021",2026-09-15,TRUE,"100685260 | COMPLETE | 2017-07-19T00:00:00.000 | 727 W MADISON ST | DIRECT DEV SERVICES - FULL BUILDING PERMIT FOR PROPOSED 45-LEVEL, 492 UNIT RESIDENTIAL TOWER WITH 376 PROPOSED PARKING SPACES. FOUNDATIONS AND STRUCTURAL ONLY TO UNDERSIDE OF 8TH FLOOR PERMITTED UNDER 100655010.",2018,679914,,FALSE,,,,Keep
33,commercial_17164040230000,730 S CLARK CHICAGO,FALSE,299,34382,298,34382,Correct count and year,"Original permit, owner's completed-building account and contemporaneous marketing support 298 apartments. Keep the same recorded four-parcel land and replace 299.",100151473;100178460;100244498,https://www.intercontinental.net/property/burnham-pointe/;https://chicagoagentmagazine.com/vol-4-iss-1-new-construction-the-residences-at-burnham-pointe-printers-row/,"Recommend 298 and 2008, retaining the reported four-parcel site and Assessor building area.",45792;74436,"17164040230000 cardNA classNA built2007: 299 homes / 496464 floor / 34382 land, assessment 2024; 17164040230000 cardNA classNA built2008: 298 homes / 496464 floor / 34382 land, assessment 2021",2026-09-15,TRUE,"100151473 | COMPLETE | 2006-12-04T00:00:00.000 | 730 S CLARK ST | ERECT FOUNDATION ONLY FOR A 29-STORY, 298-DWELLING UNIT, RESIDENTIAL BUILDING WITH FIRST FLOOR COMMERCIAL SPACE
100178460 | COMPLETE | 2007-05-15T00:00:00.000 | 730 S CLARK ST | NEW 29 STORY RESIDENTIAL HIGH RISE WITH 298 DWELLING UNITS
100244498 | COMPLETE | 2008-06-27T00:00:00.000 | 730 S CLARK ST | REVISION TO PERMIT 100178460 TO CHANGE THE UNDERGROUND PLUMBING SERVICE AT THE GROUND FLOOR, ELEMINATE CLADE XTERIOR W2ALLS AND WALL SHETHING, DECREASING THE NUMBER OF UNITS INTERIOR AND MEP CHANGES",2007,496464,Construction year,TRUE,2008,496464,The owner describes the completed Burnham Pointe building as 298 apartments completed in 2008. That agrees with the older assessment year and count and resolves the current 2007/299 combination.,Keep
34,commercial_17172240290000,1000 W VAN BUREN CHICAGO,FALSE,26,12000,26,12000,Correct year,"Original new-building permit specifies 26 apartments, supporting the newer count and individual reported lot.",100497041,https://yochicago.com/the-list-thats-depressing-downtown-chicago-apartment-rents/;https://www.redfin.com/IL/Chicago/1000-W-Van-Buren-St-60607/home/113058200,Recommend 2014 with the stated timing qualification; retain 26 apartments and recorded floor/lot measurements.,60999;83258,"17172240290000 cardNA classNA built2012: 26 homes / 42042 floor / 12000 land, assessment 2024; 17172240290000 cardNA classNA built2014: 27 homes / 42042 floor / 12000 land, assessment 2021",2026-09-15,TRUE,100497041 | COMPLETE | 2013-09-27T00:00:00.000 | 1002 W VAN BUREN ST | NEW 4- STORY 26 UNIT TYPE III-B BUILDING WITH 26 PARKING SPACES AT GROUND FLOOR - PER PLANS BUILDING IS FULLY SPRINKLED,2012,42042,Construction year,TRUE,2014,42042,"Prefer the earlier Assessor 2014 year to the selected 2012, which precedes the September 2013 new-building permit. Contemporary marketing places the building in its 2014 opening list, although the same article also lists it among 2013 deliveries. The large assessment increase in 2015 is consistent with completion in 2014. This is a supported Assessor proxy, not a located occupancy certificate.",Keep
35,commercial_17172290130000,1123 W VAN BUREN CHICAGO,TRUE,198,9520,198,9520,Retain,Final construction revision expressly corrects the count to 198. Reuse the existing documented decision and recorded land.,100836738;100916243,,Existing correction already applied.,61005;83265,"17172290130000 cardNA classNA built2021: 198 homes / 175808 floor / 9520 land, assessment 2024; 17172290130000 cardNA classNA built2020: 172 homes / 175808 floor / 9520 land, assessment 2021",2026-09-15,TRUE,"100836738 | COMPLETE | 2020-02-11T00:00:00.000 | 1125 W VAN BUREN ST | *DIRECT DEV SERVICES* NEW CONSTRUCTION OF A 20-STORY HIGH RISE APARTMENT BUILDING ON DEEP FOUNDATIONS.
100916243 |  | 2021-04-12T00:00:00.000 | 1125 W VAN BUREN ST | REVISION TO 100836738 TO REFLECT CORRECT NUMBER OF DWELLING UNITS (198) AND OFF-STREET PARKING SPACES (7) *2018 CHICAGO BUILDING CODE*",2021,175808,,FALSE,,,,Keep
36,commercial_17181130470000,2300 W JACKSON CHICAGO,FALSE,9,7920,9,7920,Hold year,"Original new-building permit specifies nine apartments, supporting the newer count and individual reported lot.",100105381;100433921,https://www.loopnet.com/Listing/2310-W-Jackson-Blvd-Chicago-IL/28231909/,Recommend withholding density rather than treating either permit issuance or reinstatement as completion. No supported replacement year is proposed.,61064;83329,"17181130470000 cardNA classNA built2006: 9 homes / 15300 floor / 7920 land, assessment 2024; 17181130470000 cardNA classNA built2009: 10 homes / 15300 floor / 7920 land, assessment 2021",2026-09-15,TRUE,"100105381 | COMPLETE | 2006-08-30T00:00:00.000 | 2310 W JACKSON BLVD | ERECT 9 D.U. MASONRY BUILDING WITH DETACHED 6 CAR MASONRY GARAGE AND 6' HIGH 31'-3"" LONG WOOD FENCE
100433921 |  | 2012-04-02T00:00:00.000 | 2310 W JACKSON BLVD | 1ST. REINSTATEMENT OF  PERMIT # 100105381 FOR 50% OF THE ORIGINAL COST + $50. CHAGNE GC TO ALON'S CONSTRUCTION, MASON TO ALPINE CONSTRUCTION, HVAC & REFRIGERATION TO JERZY KOLODZIEJ & PLUMBER TO BDP CONSTRUCTION INC.",2006,15300,Construction year,TRUE,,15300,"The original nine-apartment permit was issued in 2006 and reinstated in April 2012 with new construction contractors. The older Assessor gives 2009. A broker listing for the exact PIN, using 2310 W Jackson, reports nine apartments and 2011, but does not explain the subsequent reinstatement. These sources support nine but cannot settle original completion.",Withhold density
37,commercial_17213280040000,2109 S HALSTED CHICAGO,TRUE,18,8561,18,8561,Retain,"Original new-building permit specifies eighteen apartments and two commercial units. Keep eighteen, not twelve, and its individual recorded lot.",100638085,,The subsequent commercial-to-amenity change does not add apartments.,61233;83506,"17213280040000 cardNA classNA built2017: 18 homes / 44510 floor / 8561 land, assessment 2024; 17213280040000 cardNA classNA built2020: 12 homes / 44510 floor / 8561 land, assessment 2021",2026-09-15,TRUE,100638085 | COMPLETE | 2017-04-13T00:00:00.000 | 2111 S HALSTED ST | NEW CONSTRUCTION OF A FOUR STORY MIXED USE TYPE III-B BUILDING WITH TWO COMMERCIAL SPACES AND INTERIOR PARKING GARAGE AT GROUND FLOOR WITH 18 D.U.'S ABOVE(CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS),2017,44510,,FALSE,,,,Keep
38,commercial_17221070890000,1464 S MICHIGAN CHICAGO,TRUE,7,212611,,,Exclude partial building,"Seven class-397 parcels at 1464 S Michigan are commercial-assessed holdings within a much larger condominium tower, not a separately established seven-home building. The 212611-square-foot land figure and 5394-square-foot floor area cannot be accepted as a coherent building site.",100083194,https://www.compass.com/listing/1464-south-michigan-avenue-unit-702-chicago-il-60605/1495035623392634833/,Recommend excluding this partial ownership record. This does not claim that condominium construction generally is excluded.,45815;74457,"17221070890000 cardNA classNA built2008: 7 homes / 5394 floor / 212611 land, assessment 2024; 17221070890000 cardNA classNA built2011: 6 homes / 5394 floor / 212611 land, assessment 2021",2026-09-15,TRUE,"100083194 | COMPLETE | 2006-09-28T00:00:00.000 | 1464 S MICHIGAN AVE | NEW 25-STORY HIGH-RISE, CONDOMINIUMS WITH LANDMARK COMPONENT, 208-DWELLING UNITS, FIRST & SECOND FLOOR COMMERCIAL SPACE.",2008,5394,,TRUE,,5394,"The exact-address permit describes a 208-dwelling condominium tower, while this commercial record groups only seven class-397 holdings. Its 5394-square-foot floor and 212611-square-foot land do not measure that tower. Do not retain seven as a stand-alone construction project or create a 208-home replacement without coherent source measurements.",Exclude: partial building
39,commercial_17221071000000,51 E 14TH ST (commercial source address missing),FALSE,199,34215,199,34215,Retain,"Original full-building permit at 51 E 14th explicitly totals 199 residences, supporting the newer Assessor count over 261. Retain the two recorded parcels and reported land.",100752521,,Recorded commercial address is missing; permit supplies the building address.,45816;74458,"17221071000000 cardNA classNA built2018: 199 homes / 264800 floor / 34215 land, assessment 2024; 17221071000000 cardNA classNA built2020: 261 homes / 264800 floor / 34215 land, assessment 2021",2026-09-15,TRUE,100752521 | COMPLETE | 2018-08-21T00:00:00.000 | 51 E 14TH ST | *DIRECT DEVELOPER SERVICES* FULL BUILDING PERMIT.  NEW CONSTRUCTION FOR A 15 STORY BUILDING. NO 13TH FLOOR. 68 EFFICIENCY UNITS. 131 DWELLING UNITS. 88 PARKING SPACES. GROUND FLOOR RETAIL AS PER PLANS.  FOUNDATION PERMIT #100744797,2018,264800,,FALSE,,,,Keep
40,commercial_19192130370000,6614 W 65TH CHICAGO,FALSE,29,47539,29,47539,Correct year,Original apartment-building permit explicitly specifies 29 units. The earlier 2006 six-townhouse proposal is a different expired project. Keep 29 and the same reported lot.,100569838;100097556,https://kaufmanrealty.com/listings/237269654/6614%2BW%2B65th%2BStreet%2C%2BIL%2B60638/;https://www.atproperties.com/9580404/6614-w-65th-street-3g-chicago-illinois-60638-nei,"Recommend 29 apartments in 2017, retaining 36297 square feet of building and the single recorded 47539-square-foot parcel.",31824;52479,"19192130370000 cardNA classNA built2014: 29 homes / 36297 floor / 47539 land, assessment 2024; 19192130370000 cardNA classNA built2017: 30 homes / 36297 floor / 47539 land, assessment 2021",2026-09-15,TRUE,"100569838 | COMPLETE | 2016-01-19T00:00:00.000 | 6614 W 65TH ST | NEW 29 UNIT BUILDING APARTMENT BUILDING WITHOUT ELEVATOR.
100097556 | EXPIRED | 2006-02-23T00:00:00.000 | 6614 W 65TH ST | ERECT NEW 2 STORY WITH BASEMENT AND GARAGE 6 UNIT TOWNHOUSE BUILDING. THIS PERMIT IS CONDITIONAL ON LANDSCAPING WHICH NEEDS TO BE COMPLETED.",2014,36297,Construction year,TRUE,2017,36297,"The property broker distinguishes 6614 as a 29-apartment building built in 2017 from neighboring 6636, a sixteen-apartment building built in 2010. A March 2017 rental listing for 6614 also reports new construction in 2017. This agrees with the older Assessor year and follows the January 2016 full-building permit.",Keep
41,commercial_20044050390000,4307 S DEARBORN CHICAGO,FALSE,138,223573,138,223573,Retain,"Builder identifies Savoy Square as nineteen new buildings with 138 apartments. HUD's address list matches the recorded Dearborn/State/44th Street site. Retain the Assessor's aggregate seven-parcel land with the aggregate phase count, not an individual building's count.",100302415;100302571,https://powersandsons.com/portfolio/mixed-use-residential/legends-south/;https://projects.propublica.org/hud/properties/IL002146000,Reported land covers the assessed phase; this does not establish nineteen individual lot areas. Year 2009 remains the existing proxy.,31521;53718,"20044050390000 cardNA classNA built2009: 138 homes / 186885 floor / 223573 land, assessment 2024; 20044050390000 cardNA classNA built2010: 139 homes / 186885 floor / 223573 land, assessment 2021",2026-09-15,TRUE,"100302415 | COMPLETE | 2009-07-24T00:00:00.000 | 4340 S STATE ST | LEGENDS SOUTH BUILDING TYPE B - ERECT 3 STORY 12 DU, TYPE 3B RESIDENTIAL BUILDING W/ 12 PARKING SPACES.  GREEN PERMIT PROGRAM.  C OF O REQUIRED.
100302571 | COMPLETE | 2009-07-24T00:00:00.000 | 4404 S STATE ST | LEGENDS SOUTH- BUILDING TYPE C- ERECT  A 3 STORY 9 DU TYPE IIIB RESIDENTIAL BUILDING WITH 9 SURFACE PARKING SPACES. GREEN PERMIT PROGRAM BENEFIT TIER I- CERTIFICATE OF OCCUPANCY REQUIRED.",2009,186885,,FALSE,,,,Keep
42,residential_13122160080000,5439 N LINCOLN AVE,FALSE,3,2377,2,2377,Correct count,Original new-building permit specifies two dwellings and commercial space. The Assessor's 2009-2011 count of two is the supported residential count; three likely counts the shop. Keep the individual parcel's 2377-square-foot lot.,100076099,,,1312216008000012003;1312216008000012004;1312216008000012006;1312216008000012007;1312216008000012008;1312216008000012009;1312216008000012010;1312216008000012011;1312216008000012015;1312216008000012016;1312216008000012017;1312216008000012018;1312216008000012019;1312216008000012020;1312216008000012021;1312216008000012022;1312216008000012023;1312216008000012024;1312216008000012025;1312216008000012026,"13122160080000 card1 class211 built1927: NA homes / NA floor / NA land, assessment 2003,2004; 13122160080000 card1 class211 built1927: 4 homes / 8027 floor / 2377 land, assessment 2006; 13122160080000 card1 class212 built2006: 3 homes / 7200 floor / 2377 land, assessment 2007; 13122160080000 card1 class212 built2006: 3 homes / 5025 floor / 2377 land, assessment 2008,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026; 13122160080000 card1 class212 built2006: 2 homes / 5025 floor / 2377 land, assessment 2009,2010,2011",2026-09-15,TRUE,100076099 | COMPLETE | 2006-02-02T00:00:00.000 | 5439 N LINCOLN AVE | ERECT NEW 3 STORY BRICK COMMERCIAL  AND 2 DU PER PLAN,2006,5025,,FALSE,,,,Keep
43,residential_13144290260000,3332 W IRVING PARK RD,TRUE,3,3125,3,3125,Retain,Original permit specifies three dwellings plus a business. A 2023 permit converts the business to a fourth dwelling after original construction. Keep three and the original individual lot.,100823068;101000510,,Later four is not the original construction count.,1314429026000012000;1314429026000012001;1314429026000012002;1314429026000012003;1314429026000012004;1314429026000012005;1314429026000012006;1314429026000012007;1314429026000012008;1314429026000012009;1314429026000012010;1314429026000012011;1314429026000012012;1314429026000012013;1314429026000012014;1314429026000012015;1314429026000012016;1314429026000012017;1314429026000012018;1314429026000012019;1314429026000012021;1314429026000012022;1314429026000012023;1314429026000012024;1314429026000012025;1314429026000012026,"13144290260000 card1 class218 built1901: NA homes / NA floor / NA land, assessment 2000,2001,2002; 13144290260000 card1 class211 built1904: 3 homes / 1764 floor / NA land, assessment 2003; 13144290260000 card1 class212 built1904: 4 homes / 1764 floor / NA land, assessment 2004,2005; 13144290260000 card1 class212 built1904: 4 homes / 1764 floor / 3125 land, assessment 2006,2007,2008; 13144290260000 card1 class212 built1904: 2 homes / 1764 floor / 3125 land, assessment 2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019; 13144290260000 card1 class212 built2021: 3 homes / 6753 floor / 3125 land, assessment 2021,2022,2023,2024; 13144290260000 card1 class211 built2021: 4 homes / 6753 floor / 3125 land, assessment 2025,2026",2026-09-15,TRUE,"100823068 | COMPLETE | 2020-05-27T00:00:00.000 | 3332 W IRVING PARK RD | ERECT A 4 STORY MASONRY BUILDING WITH 3 DWELLING UNITS AND BUSINESS UNIT AT 1ST FLOOR, 4 PARKING SPACES, TRASH ENCLOSURE AND FENCE AS PER PLANS.
101000510 | COMPLETE | 2023-02-16T00:00:00.000 | 3332 W IRVING PARK RD | REVISION TO A PERMIT # 100823068 TO CONVERT BUSINESS UNIT AT FIRST FLOOR TO DWELLING UNIT, (4 UNITS TOTAL); REMOVE ROOF TOP DECKING FROM SCOPE AS PER REVISED PLANS",2021,6753,,FALSE,,,,Keep
44,residential_13222210340000,3600 N KEELER AVE,TRUE,1,5772,2,5772,Correct count,"Original new-building permit specifies two dwellings. The 2020 sale describes a completed home with a separate legal lower-level apartment and two kitchens. Prefer two original dwellings over the later single-family class, retaining the Assessor lot.",100788995;100732345,https://www.oldirvingpark.com/wp-content/uploads/2020/04/OIPA-News-Feb-2020-12720-2.pdf;https://www.redfin.com/IL/Chicago/3600-N-Keeler-Ave-60641/home/147819243,A single owner can occupy both dwellings. Broker floor area includes the lower level; this review does not replace the Assessor floor measure.,1322221034000011999;1322221034000012000;1322221034000012001;1322221034000012002;1322221034000012003;1322221034000012004;1322221034000012005;1322221034000012006;1322221034000012007;1322221034000012008;1322221034000012009;1322221034000012010;1322221034000012011;1322221034000012012;1322221034000012013;1322221034000012014;1322221034000012015;1322221034000012016;1322221034000012017;1322221034000012018;1322221034000012019;1322221034000012020;1322221034000012021;1322221034000012022;1322221034000012023;1322221034000012024;1322221034000012025;1322221034000012026,"13222210340000 card1 class211 built1886: 2 homes / 1632 floor / NA land, assessment 1999,2000,2001,2002,2003,2004,2005; 13222210340000 card1 class211 built1886: 2 homes / 1632 floor / 5772 land, assessment 2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018; 13222210340000 card1 class211 built1886: 2 homes / 3250 floor / 5772 land, assessment 2019,2020; 13222210340000 card1 class211 built1887: 2 homes / 3250 floor / 5772 land, assessment 2021,2022,2023; 13222210340000 card1 class278 built1887: 1 homes / 3250 floor / 5772 land, assessment 2024; 13222210340000 card1 class278 built2020: 1 homes / 3250 floor / 5772 land, assessment 2025,2026",2026-09-15,TRUE,"100788995 | COMPLETE | 2018-11-14T00:00:00.000 | 3600 N KEELER AVE | SELF-CERT: NEW 2 STORY FRAME 2 DWELLING UNIT RESIDENTIAL WITH BASEMENT, A DETACHED 2 CAR GARAGE AND 1-PARKING ON SLAB PER PLANS.
100732345 |  | 2018-10-23T00:00:00.000 | 3600 N KEELER AVE | WRECK AND REMOVE A 2 STORY FRAME MULTI UNIT RESIDENCE AND A DETACHED FRAME GARAGE",2020,3250,,FALSE,,,,Keep
